,open,high,low,close
0,3701.23000000,3810.16000000,3642.00000000,3797.14000000
1,3796.45000000,3882.14000000,3750.45000000,3858.56000000
2,3857.57000000,3862.74000000,3730.00000000,3766.78000000
3,3767.20000000,3823.64000000,3703.57000000,3792.01000000
4,3790.09000000,3840.99000000,3751.00000000,3770.96000000
5,3771.12000000,4027.71000000,3740.00000000,3987.60000000
6,3987.62000000,4017.90000000,3921.53000000,3975.45000000
7,3976.76000000,4069.80000000,3903.00000000,3955.13000000
8,3955.45000000,4006.81000000,3930.04000000,3966.65000000
9,3966.06000000,3996.01000000,3540.00000000,3585.88000000
10,3585.88000000,3658.00000000,3465.00000000,3601.31000000
11,3601.31000000,3618.19000000,3530.00000000,3583.13000000
12,3584.10000000,3611.10000000,3441.30000000,3476.81000000
13,3477.56000000,3671.87000000,3467.02000000,3626.09000000
14,3626.08000000,3648.42000000,3516.62000000,3553.06000000
15,3553.06000000,3645.00000000,3543.51000000,3591.84000000
16,3591.84000000,3634.70000000,3530.39000000,3616.21000000
17,3613.32000000,3620.00000000,3565.75000000,3594.87000000
18,3594.87000000,3720.00000000,3594.23000000,3665.30000000
19,3665.75000000,3693.73000000,3475.00000000,3539.28000000
20,3539.26000000,3559.51000000,3475.50000000,3526.90000000
21,3526.88000000,3608.50000000,3434.85000000,3570.93000000
22,3570.41000000,3607.98000000,3514.50000000,3552.82000000
23,3552.97000000,3589.00000000,3529.22000000,3569.62000000
24,3569.07000000,3587.15000000,3522.51000000,3565.29000000
25,3566.69000000,3662.94000000,3545.00000000,3565.25000000
26,3565.62000000,3579.00000000,3486.00000000,3550.84000000
27,3550.05000000,3557.75000000,3380.27000000,3434.15000000
28,3434.00000000,3443.45000000,3349.92000000,3411.04000000
29,3410.04000000,3478.00000000,3387.10000000,3458.18000000
30,3457.50000000,3489.20000000,3418.80000000,3434.10000000
31,3434.10000000,3488.00000000,3401.20000000,3462.07000000
32,3462.20000000,3526.40000000,3440.29000000,3504.77000000
33,3504.06000000,3511.09000000,3426.00000000,3458.11000000
34,3458.11000000,3484.88000000,3433.31000000,3463.22000000
35,3463.22000000,3478.97000000,3448.43000000,3471.59000000
36,3471.57000000,3482.72000000,3380.00000000,3405.37000000
37,3407.00000000,3426.45000000,3390.00000000,3398.40000000
38,3398.40000000,3733.58000000,3373.10000000,3659.04000000
39,3660.27000000,3680.02000000,3625.13000000,3665.18000000
